transaction_id,merchant_id,amount_inr,payment_method,gateway,bank,decline_reason,decline_message,hour_of_day,day_of_week,retry_attempt_number,action_taken,outcome_success
9857c741-880a-4887-9874-0cbff1b1589b,M102,18424.96,UPI,GatewayC,BankW,GATEWAY_TIMEOUT,Transaction declined,16,4,1,SWITCH_GATEWAY,1
3cc6782e-4004-483e-a9db-869a26d32231,M103,11257.77,NETBANKING,GatewayA,BankY,OTP_TIMEOUT,3DS authentication timeout,6,6,1,RETRY_SAME,1
3aeee423-0eeb-4aff-a6cc-69e65b76025c,M112,1134.09,WALLET,GatewayC,BankX,OTP_TIMEOUT,one time password expired before submission,19,6,1,SWITCH_GATEWAY,0
395ca1de-319d-487f-bff8-77781021871f,M101,21390.18,UPI,GatewayB,BankZ,OTP_TIMEOUT,3DS authentication timeout,11,1,1,RETRY_BACKOFF,0
6d1e239e-75df-4139-bde7-4ba8846e4498,M110,4319.91,CARD,GatewayA,BankW,GATEWAY_TIMEOUT,"Payment service unavailable, try again",7,5,1,RETRY_SAME,1
34e203cc-1a22-4d87-b5bf-fa1e7ab303b2,M106,6730.13,CARD,GatewayC,BankZ,RISK_BLOCK,Transaction flagged for manual review,20,3,1,RETRY_SAME,0
1108aef5-8359-4cab-9450-92f6a755f6f7,M111,14635.42,WALLET,GatewayB,BankY,OTP_TIMEOUT,Txn declined: OTP not entered within time limit,2,6,1,RETRY_SAME,1
8ec8af73-f831-4941-8c4e-bea4a59c6aa0,M106,14930.41,WALLET,GatewayB,BankW,OTP_TIMEOUT,Customer did not complete 2FA in time,0,5,2,RETRY_SAME,0
fbf3835c-a6c6-435f-90a1-6baf5ab80f34,M110,8537.38,NETBANKING,GatewayB,BankY,GATEWAY_TIMEOUT,"Payment service unavailable, try again",8,4,2,RETRY_SAME,1
8ddfc312-7160-45e7-a39d-db6e5e40a744,M108,15243.81,CARD,GatewayB,BankY,BANK_SERVER_ERROR,"Bank system error, transaction not processed",19,2,1,SWITCH_GATEWAY,0
318c219c-61bf-4dd4-ada8-3c7cfde9e658,M103,21956.34,UPI,GatewayA,BankW,OTP_TIMEOUT,Customer did not complete 2FA in time,4,5,1,SWITCH_GATEWAY,1
aa25691f-fe8a-4658-8cd3-25ebf767b721,M103,23226.39,CARD,GatewayC,BankZ,BANK_SERVER_ERROR,Issuer connection failure,14,4,1,ABANDON,0
5d0220b1-d9aa-4c7c-a2b5-c0e8fecacf1b,M103,14731.58,UPI,GatewayA,BankX,INSUFFICIENT_FUNDS,Insufficient balance in account,2,4,1,RETRY_SAME,0
7b51ba73-0de2-4608-a735-89cfb1b007dc,M114,14297.53,WALLET,GatewayA,BankW,GATEWAY_TIMEOUT,No response from payment proccessor,13,3,1,RETRY_BACKOFF,0
b0e8521d-98ad-430d-80a7-8a9190bc90fe,M101,1562.29,NETBANKING,GatewayA,BankY,GATEWAY_TIMEOUT,Gateway connection timed out,13,1,1,RETRY_SAME,0
9ee98d6b-3967-4fe1-83db-3d6392e1fe46,M113,21406.37,UPI,GatewayA,BankX,INSUFFICIENT_FUNDS,Txn declined by issuer: low funds,15,3,1,RETRY_SAME,0
69cd1538-bc32-47f0-87e3-2a9e02fd07b2,M106,6666.82,WALLET,GatewayB,BankW,INSUFFICIENT_FUNDS,Declined - insufficient credit limit available,17,5,2,SWITCH_METHOD,1
8524de10-5f97-45f0-88d7-634f25c68bb9,M108,1570.89,NETBANKING,GatewayA,BankX,OTP_TIMEOUT,Customer did not complete 2FA in time,16,1,1,RETRY_SAME,1
0fe06e13-be88-4d78-a163-fc4bfb8539a5,M101,16896.55,CARD,GatewayB,BankX,BANK_SERVER_ERROR,"Bank system error, transaction not processed",19,0,1,RETRY_SAME,1
f148cf1e-2d92-429b-be2f-150c33d18bc7,M114,6556.1,NETBANKING,GatewayA,BankZ,INSUFFICIENT_FUNDS,Declined - insufficient credit limit available,14,2,3,RETRY_SAME,0
48da9e14-d58d-4ab2-94dd-bc1648285bc2,M101,1877.85,CARD,GatewayC,BankZ,NETWORK_ERROR,"Payment failed, please try again",7,2,1,ABANDON,0
3a99651f-91f8-4d0e-91e3-cf63550c8d79,M112,16366.71,UPI,GatewayC,BankZ,BANK_SERVER_ERROR,Issuing bank server not responding,4,2,1,RETRY_SAME,1
1ec87293-3d20-49be-a754-b4b6e6ae2692,M109,5305.21,NETBANKING,GatewayA,BankZ,OTP_TIMEOUT,3DS authentication timeout,1,0,1,RETRY_SAME,1
32641c26-7d70-40f9-b21f-9beb5d1d3267,M110,24495.96,CARD,GatewayC,BankW,RISK_BLOCK,Transaction flagged for manual review,3,0,3,SWITCH_GATEWAY,0
527bce6f-f66d-4716-bf4d-942f3cc0fcab,M109,13835.5,WALLET,GatewayA,BankX,GATEWAY_TIMEOUT,Gateway request timed out,6,5,1,RETRY_SAME,0
85364b2b-b1ad-43bb-b542-b629da836759,M106,24347.23,CARD,GatewayA,BankY,OTP_TIMEOUT,Txn declined: OTP not entered within time limit,0,1,2,RETRY_SAME,0
d0b7c552-251d-4c75-a31e-a3b9a0c7193e,M113,18389.69,CARD,GatewayB,BankY,INSUFFICIENT_FUNDS,Insufficient balance in account,1,6,1,RETRY_SAME,0
38689fef-d008-48f7-a41c-b83cce93792f,M113,19893.87,CARD,GatewayA,BankX,OTP_TIMEOUT,One time password expired before submission,2,6,1,RETRY_SAME,1
666934a8-17e8-4651-96c0-7daf96fd63c3,M100,2927.78,NETBANKING,GatewayA,BankZ,GATEWAY_TIMEOUT,Unable to process transaction at this time,23,6,1,ABANDON,0
e020b025-94c6-4975-b378-e4f026a2f868,M109,4792.47,UPI,GatewayC,BankW,GATEWAY_TIMEOUT,Unable to process transaction at this time,23,5,1,RETRY_SAME,0
6bc59ee7-3094-4d0c-8eea-1b7115e71261,M110,21207.98,NETBANKING,GatewayC,BankZ,INSUFFICIENT_FUNDS,Available limit exceeded,9,4,1,SWITCH_GATEWAY,0
7ac01768-9d0e-4b57-9e70-b1cea6caa5e4,M114,4391.98,NETBANKING,GatewayB,BankX,BANK_SERVER_ERROR,Bank system temporarily unavailable,18,4,1,RETRY_SAME,0
86d2c491-5089-46e8-8dce-43bc37f3209b,M112,22534.46,CARD,GatewayC,BankX,BANK_SERVER_ERROR,Issuer connection failure,10,0,2,RETRY_BACKOFF,0
c4cf6978-cbb0-4a1c-a4d9-b7f530898449,M103,3726.48,UPI,GatewayA,BankW,RISK_BLOCK,Transaction blocked by risk engine,20,4,1,RETRY_SAME,0
27333875-92f2-423a-ba02-02b49fc8caad,M111,188.34,UPI,GatewayB,BankY,GATEWAY_TIMEOUT,"Payment service unavailable, try again",1,4,1,RETRY_BACKOFF,1
ab49b58f-efff-4682-a139-787726032197,M108,14906.54,WALLET,GatewayC,BankW,RISK_BLOCK,Declined by fraud prevention system,5,5,2,SWITCH_METHOD,0
f8acc535-cac6-4609-8749-6d0fa203894d,M104,19157.05,WALLET,GatewayC,BankY,BANK_SERVER_ERROR,Issuing bank server not responding,7,2,1,RETRY_SAME,0
2bd9d51a-273f-4db6-8781-2eb5f9e864c1,M111,3862.49,CARD,GatewayA,BankW,CARD_EXPIRED,Expiry date does not match records,1,1,2,RETRY_BACKOFF,0
